CRM-P (periodic) Financial Period,Eastern,North West & Central,Scotland's Railway,Southern,Wales & Western,CRM-P (MAA) Financial Period,Eastern,North West & Central,Scotland's Railway,Southern,Wales & Western
2014-15 Period 01,1.06,1.05,0.52,1.87,1.39,2014-15 Period 01,,,,,
2014-15 Period 02,1.19,1.64,0.58,1.84,1.32,2014-15 Period 02,,,,,
2014-15 Period 03,1.24,1.28,0.76,1.74,1.55,2014-15 Period 03,,,,,
2014-15 Period 04,1.38,1.18,0.76,1.81,1.8,2014-15 Period 04,,,,,
2014-15 Period 05,1.49,1.48,1.13,2.03,1.71,2014-15 Period 05,,,,,
2014-15 Period 06,1.23,1.52,0.66,1.45,0.97,2014-15 Period 06,,,,,
2014-15 Period 07,1.22,1.42,0.99,2.18,1.83,2014-15 Period 07,,,,,
2014-15 Period 08,1.85,2.19,1.69,3.07,1.94,2014-15 Period 08,,,,,
2014-15 Period 09,1.71,1.97,1.15,2.64,1.89,2014-15 Period 09,,,,,
2014-15 Period 10,1.49,1.62,1.42,2.39,1.73,2014-15 Period 10,,,,,
2014-15 Period 11,1.39,1.74,1.59,2.99,1.61,2014-15 Period 11,,,,,
2014-15 Period 12,1.08,1.23,0.64,2.2,1.25,2014-15 Period 12,,,,,
2014-15 Period 13,1.04,1.45,0.81,2.22,1.03,2014-15 Period 13,1.33,1.52,0.97,2.19,1.53
2015-16 Period 01,1.11,1.54,0.73,2.15,1.56,2015-16 Period 01,1.33,1.56,0.98,2.2,1.55
2015-16 Period 02,1.11,1.42,0.56,1.86,1.49,2015-16 Period 02,1.33,1.54,0.98,2.21,1.56
2015-16 Period 03,1.03,1.37,0.79,1.82,1.54,2015-16 Period 03,1.31,1.55,0.98,2.21,1.56
2015-16 Period 04,1.38,1.44,0.79,2.27,1.71,2015-16 Period 04,1.31,1.57,0.99,2.25,1.55
2015-16 Period 05,1.15,1.32,0.75,2.03,1.64,2015-16 Period 05,1.29,1.56,0.96,2.25,1.55
2015-16 Period 06,1.17,1.45,0.62,1.58,1.53,2015-16 Period 06,1.28,1.55,0.95,2.26,1.59
2015-16 Period 07,1.29,1.17,0.93,1.9,1.77,2015-16 Period 07,1.29,1.53,0.95,2.23,1.59
2015-16 Period 08,1.85,1.9,1.53,3.2,1.88,2015-16 Period 08,1.29,1.51,0.94,2.24,1.58
2015-16 Period 09,2.09,3.13,1.49,3.32,2,2015-16 Period 09,1.31,1.6,0.96,2.3,1.59
2015-16 Period 10,1.29,1.91,1.55,3.16,1.5,2015-16 Period 10,1.3,1.62,0.97,2.35,1.58
2015-16 Period 11,1.58,1.47,1.31,3.05,1.36,2015-16 Period 11,1.32,1.6,0.95,2.35,1.56
2015-16 Period 12,1.33,1.44,0.95,3.2,1.54,2015-16 Period 12,1.33,1.61,0.97,2.43,1.58
